Age_Group,Category,Total_Sales,Total_Quantity,Record_Count,Sales_Contribution_Pct
18-29,Education,4360196.0,208,39,3.1278432760902417
18-29,Electronics,9962127.96,423,74,7.146461983643992
18-29,Fashion,5260773.2,192,38,3.7738840365560966
18-29,Furniture,6544059.25,253,45,4.694465965165018
18-29,Grocery,5138303.51,186,37,3.6860288125268657
30-44,Education,9074498.4,343,55,6.5097093810305
30-44,Electronics,20143178.97,776,136,14.449971262850767
30-44,Fashion,5493323.05,252,52,3.9407066942252227
30-44,Furniture,7993988.43,320,54,5.734591509170388
30-44,Grocery,7570616.05,287,52,5.430879829221752
45-65,Education,11596995.0,426,84,8.319255105413188
45-65,Electronics,20673274.77,779,144,14.830242375368114
45-65,Fashion,9081799.54,355,66,6.514946948712501
45-65,Furniture,6983513.8,282,60,5.0097143988053325
45-65,Grocery,9522791.72,353,64,6.8312984212200165
